,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
123,123,-75.0232912130799,5.608740138995927e-10,1.4999770314716443e-08,89,12800.0,8360,2548,1326,"d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.00018044802721339033
124,124,-75.02329121326734,1.8744117369351443e-10,1.4812329141022929e-08,80,12848.0,8432,2580,1326,"d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.00045180561164239667
125,125,-75.02329121326854,1.1937117960769683e-12,1.4811135429226852e-08,51,12896.0,8504,2580,1350,"d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.00041125052507348
126,126,-75.0232912134211,1.525677362224087e-10,1.4658567693004443e-08,57,12944.0,8576,2612,1350,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",1.4787607388517897e-05
127,127,-75.02329121403208,6.109814876253949e-10,1.4047586205379048e-08,90,13088.0,8648,2644,1350,"d_f_exc_[0, 7]_[10, 11]","[[0, 7], [10, 11]]",-0.00020806914359255635
128,128,-75.02329121506105,1.0289653573636315e-09,1.3018620848015416e-08,84,13136.0,8720,2644,1374,"d_f_exc_[8, 9]_[12, 13]","[[8, 9], [12, 13]]",-0.00326686990958791
129,129,-75.02329122376347,8.702414788785973e-09,4.316206059229444e-09,176,13216.0,8792,2676,1374,"d_f_exc_[6, 11]_[8, 9]","[[6, 11], [8, 9]]",0.006237975223785791
130,130,-75.02329122454785,7.843823368602898e-10,3.531823722369154e-09,83,13264.0,8864,2676,1398,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.00042744055477496426
131,131,-75.02329122470194,1.5408829767693533e-10,3.3777354246922187e-09,69,13344.0,8936,2708,1422,"d_f_exc_[5, 6]_[10, 13]","[[5, 6], [10, 13]]",-1.8448571100842212e-05
132,132,-75.02329122489856,1.9662138583953492e-10,3.1811140388526837e-09,81,13456.0,9008,2708,1446,"d_f_exc_[2, 7]_[12, 13]","[[2, 7], [12, 13]]",-0.00010969209408923489
133,133,-75.02329122493937,4.0813574742060155e-11,3.1403004641106236e-09,43,13536.0,9080,2708,1470,"d_f_exc_[5, 7]_[11, 13]","[[5, 7], [11, 13]]",1.0626573220186284e-05
134,134,-75.02329122494076,1.3926637620897964e-12,3.1389078003485338e-09,12,13648.0,9152,2740,1494,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",2.0589953109712737e-07
